B00.0	eczéma herpétique
B00.1	dermite vésiculaire due au virus de l'herpès
B00.2	gingivo-stomatite et pharyngo-amygdalite due au virus de l'herpès
B00.3	méningite due au virus de l'herpès
B00.4	encéphalite due au virus de l'herpès
B00.50	maladie oculaire due au virus de l'herpès, non spécifiée
B00.51	iridocyclite due au virus de l'herpès
B00.52	kératite due au virus de l'herpès
B00.53	conjonctivite due au virus de l'herpès
B00.59	d'autres maladies oculaires dues au virus de l'herpès
B00.7	maladie disséminée due au virus de l'herpès
B00.81	hépatite herpétique
B00.82	myélite à herpes simplex
B00.89	autre infection due au virus de l'herpès
B00.9	infection due au virus de l'herpès, non spécifiée
B01.0	méningite varicelleuse
B01.11	encéphalite varicelleuse et encéphalomyélite varicelleuse
B01.12	myélite varicelleuse
B01.2	pneumonie varicelleuse
B01.81	kératite varicelleuse
B01.89	d'autres complications varicelleuse
B01.9	varicelle sans complication
B02.0	encéphalite zostérienne
B02.1	méningite zostérienne
B02.21	atteinte post-herpétique du ganglion géniculé
B02.22	névralgie trigéminée post-herpétique
B02.23	polynévrite post-zostérienne
B02.24	myélite post-herpétique
B02.29	d'autres manifestations post-herpétiques du système nerveux
B02.30	zona ophtalmique, non spécifié
B02.31	conjonctivite zostérienne
B02.32	iridocyclite zostérienne
B02.33	kératite zostérienne
B02.34	sclérite zostérienne
B02.39	zona avec une autre maladie ophtalmologique
B02.7	zona disséminé
B02.8	zona avec d'autres complications
B02.9	zona sans complication
B03	variole
B04	virus orthopox simmien
B05.0	rougeole compliquée d'une encéphalite
B05.1	rougeole compliquée d'une méningite
B05.2	rougeole compliquée d'une pneumonie
B05.3	rougeole compliquée d'une otite moyenne
B05.4	rougeole avec des complications intestinales
B05.81	rougeole compliquée de kératite et de kératoconjonctivite
B05.89	d'autres complications de rougéole
B05.9	rougeole sans complication
B06.0	rubéole avec des complications neurologiques, non spécifiée
B06.1	encéphalite rubéoleuse
B06.2	méningite rubéoleuse
B06.9	rubéole avec une autre complication neurologique
B06.81	pneumonie rubéoleuse
B06.82	arthrite rubéoleuse
B06.89	d'autres complications de rubéole
B06.9	rubéole sans complication
B07.0	verrue plantaire
B07.8	d'autres verrues d'origine virale
B07.9	verrues d'origine virale, non spécifiées
B08.10	cowpox
B08.11	vaccinia naturelle
B08.2	orf
B08.3	pseudovaccine 
B08.3	nodule des trayeurs
B08.4	paravaccine, non spécifiée
B08.9	d'autres infections à virus orthopox
B08.1	molluscum contagiosum
B08.20	exanthème subit, non spécifié
B08.20	sixième maladie, non spécifié
B08.20	roséole infantile, non spécifié
B08.21	exanthème subit due au virus herpès humain 6
