L03.011	cellulite du doigt droit
L03.012	cellulite du doigt gauche
L03.019	cellulite d'un doigt non spécifié
L03.021	lymphangite aiguë du doigt droit
L03.022	lymphangite aiguë du doigt gauche
L03.029	lymphangite aiguë d'un doigt non spécifié
L03.031	cellulite de l'orteil droit
L03.032	cellulite de l'orteil gauche
L03.039	cellulite d'un orteil non spécifié
L03.041	lymphangite aiguë de l'orteil droit
L03.042	lymphangite aiguë de l'orteil gauche
L03.049	lymphangite aiguë d'un orteil non spécifié
L03.111	cellulite du creux axillaire droit
L74.512	hyperhidrose primaire localisée, paumes des mains
L74.513	hyperhidrose primaire localisée, plantes des pieds
L74.519	hyperhidrose primaire localisée, non spécifiée
L74.52	hyperhidrose secondaire localisée
L74.8	d'autres troubles des glandes sudoripares eccrines
L74.9	trouble des glandes sudoripares eccrines, non spécifié
L75.0	bromhidrose
L75.1	chromhidrose
L75.2	miliaire apocrine
L97.811	ulcère chronique, non dû à la pression, d'une autre partie de la jambe droite, limité au défaut de la peau
L97.812	ulcère chronique, non dû à la pression, d'une autre partie de la jambe droite, avec l'exposition du tissu graisseux
L97.813	ulcère chronique, non dû à la pression, d'une autre partie de la jambe droite, avec nécrose du muscle
L97.814	ulcère chronique, non dû à la pression, d'une autre partie de la jambe droite, avec nécrose de l'os
L97.819	ulcère chronique, non dû à la pression, d'une autre partie de la jambe droite, avec une sévérité non spécifiée
L00	syndrome d'épidermolyse staphylococcique aigu
L01.00	impétigo, non spécifié
L01.01	impétigo non bulleux
L01.02	impétigo de Bockhart
L01.03	impétigo bulleux
L01.09	autre impétigo
L01.1	impétiginisation d'autres dermatoses
L02.01	abcès cutané du visage
L02.02	furoncle du visage
L02.03	anthrax du visage
L02.11	abcès cutané du cou
L02.12	furoncle du cou
L02.13	anthrax du cou
L02.211	abcès cutané de la paroi abdominale
L02.212	abcès cutané du dos 
L02.213	abcès cutané de la paroi thoracique
L02.214	abcès cutané de l'aine
L02.215	abcès cutané de la périnée
L02.216	abcès cutané de l'ombilic
L02.219	abcès cutané du tronc, non spécifié
L02.221	furoncle de la paroi abdominale
L02.222	furoncle du dos 
L02.223	furoncle de la paroi thoracique
L02.224	furoncle de l'aine
L02.225	furoncle de la périnée
L02.226	furoncle de l'ombilic
L02.229	furoncle du tronc, non spécifié
L02.231	anthrax de la paroi abdominale
L02.232	anthrax du dos
L02.233	anthrax de la paroi thoracique
