Q17.2	microtie
Q17.3	autre déformation de l'oreille
Q17.4	anomalie de la position de l'oreille
Q17.5	oreille proéminente
Q17.8	d'autres malformations congénitales spécifiées de l'oreille
Q17.9	malformation congénitale de l'oreille, non spécifiée
Q18.0	sinus, fistule et kyste d'origine branchiale
Q18.1	fistule et kyste préauriculaires
Q18.2	d'autres malformations d'origine branchiale
Q18.3	cou palmé
Q18.4	macrostomie
Q18.5	microstomie
Q18.6	macrocheilie
Q18.7	microcheilie
Q18.8	d'autres malformations congénitales spécifiées de la face et du cou
Q18.9	malformation congénitale de la face et du cou, non spécifiée
Q20.0	tronc artériel commun
Q20.1	ventricule droit à double sortie
Q20.2	ventricule gauche à double sortie
Q39.1	atrésie de l'oesophage avec une fistule trachéo-oesophagienne
Q39.2	fistule trachéo-osophagienne congénitale sans atrésie
Q39.3	sténose et rétrécissement congénitaux de l'osophage
Q39.4	ptérygion de l'oesophage
Q39.5	dilatation congénitale de l'oesophage
Q39.6	diverticule congénitale de l'oesophage
Q39.8	d'autres malformations congénitales de l'oesophage
Q39.9	malformation congénitale de l'oesophage, non spécifiée
Q40.0	sténose hypertrophique congénitale du pylore
Q76.8	d'autres malformations congénitales du thorax osseux
Q76.9	malformation congénitale du thorax osseux, non spécifiée
Q77.0	achondrogénésie
Q77.1	insuffisance staturale thanatophore
Q77.2	syndrome des côtes courtes
Q77.3	chondrodysplasie ponctuée
Q77.4	achondroplasie
Q77.5	dysplasie diastrophique
Q77.6	dysplasie chondro-ectodermique
Q77.7	dysplasie spondylo-épiphysaire
Q77.8	d'autres ostéochondrodysplasies avec défauts de la croissance des os longs et de la colonne vertébrale
Q77.9	ostéochondrodysplasie avec défauts de la croissance des os longs et de la colonne vertébrale, non spécifiée
Q78.0	osteogenesis imperfecta
Q78.1	dysplasie polyostotique fibreuse
Q78.2	ostéopétrose
Q78.3	dysplasie diaphysaire progressive
Q78.4	enchondromatose
Q00.0	anencéphalie
Q00.1	cranio-rachischisis
Q00.2	iniencéphalie
Q01.0	encéphalocèle frontale
Q01.1	encéphalocèle naso-frontale
Q01.2	encéphalocèle occipitale
Q01.8	encéphalocèle d'autres sites
Q01.9	encéphalocèle, non spécifiée
Q02	microcéphalie
Q03.0	malformations de l'aqueduc de Sylvius
Q03.1	atrésie du foramen de Luschka et de Magendie
Q03.8	autre hydrocéphalie congénitale
Q03.9	hydrocéphalie congénitale, non spécifiée
Q04.0	malformations congénitales du corps calleux
Q04.1	arhinencéphalie
Q04.2	holoprosencéphalie
Q04.3	d'autres sous-développements du cerveau
Q04.4	dysplasie du septum et des voies optiques du cerveau
Q04.5	mégalencéphalie
Q04.6	kystes cérébraux congénitaux
Q04.8	d'autres malformations congénitales spécifiées du cerveau
Q04.9	malformation congénitale du cerveau, non spécifiée
Q05.0	spina bifida cervical avec hydrocéphalie
Q05.1	spina bifida thoracique avec hydrocéphalie
Q05.2	spina bifida lombaire avec hydrocéphalie
Q05.3	spina bifida sacré avec hydrocéphalie
Q05.4	spina bifida avec hydrocéphalie, non spécifié
Q05.5	spina bifida cervical sans hydrocéphalie
Q05.6	spina bifida thoracique sans hydrocéphalie
Q05.7	spina bifida lombaire sans hydrocéphalie
Q05.8	spina bifida sacré sans hydrocéphalie
Q05.9	spina bifida, non spécifié
Q06.0	amyélie
Q06.1	hypoplasie et dysplasie de la moelle épinière
Q06.2	diastématomyélie
Q06.3	d'autres malformations congénitales de la queue de cheval
Q06.4	hydromyélie
Q06.8	d'autres malformations congénitales spécifiées de la moelle épinière
Q06.9	malformation congénitale de la moelle épinière, non spécifiée
Q07.0	syndrome d'Arnold-Chiari sans spina bifida ou hydrocéphalie
Q07.1	syndrome d'Arnold-Chiari avec spina bifida
Q07.2	syndrome d'Arnold-Chiari avec hydrocéphalie
Q07.3	syndrome d'Arnold-Chiari avec spina bifida et hydrocéphalie
Q07.8	d'autres malformations congénitales spécifiées du système nerveux
Q07.9	malformation congénitale du système nerveux, non spécifiée
Q10.0	ptosis congénital
Q10.1	ectropion congénital
Q10.2	entropion congénital
Q10.3	d'autres malformations congénitales d'une paupière
Q10.4	absence et agénésie de l'appareil lacrymal
Q10.5	sténose et rétrécissement congénitaux du canal lacrymal
Q10.6	d'autres malformations congénitales de l'appareil lacrymal
Q10.7	malformation congénitale de l'orbite
Q11.0	globe oculaire kystique
Q11.1	autre anophtalmie
Q11.2	microphtalmie
Q11.3	macrophtalmie
Q12.0	cataracte congénitale
Q12.1	luxation congénitale du cristallin
Q12.2	colobome du cristallin
Q12.3	aphakie congénitale
Q12.4	sphérophakie
Q12.8	d'autres malformations congénitales du cristallin
Q12.9	malformation congénitale du cristallin, non spécifiée
Q13.0	colobome de l'iris
Q13.1	absence de l'iris
Q13.2	d'autres malformations congénitales de l'iris
Q13.3	opacité congénitale de la cornée
Q13.4	d'autres malformations congénitales de la cornée
Q13.5	sclérotique bleue
Q13.81	anomalie de Rieger
Q13.89	d'autres malformations congénitales de la chambre antérieure de l'oeil
Q13.9	malformation congénitale de la chambre antérieure de l'oeil, non spécifiée
Q14.0	malformation congénitale du corps vitré
Q14.1	malformation congénitale de la rétine
Q14.2	malformation congénitale de la papille optique
Q14.3	malformation congénitale de la choroïde
Q14.8	d'autres malformations congénitales de la chambre postérieure de l'oeil
Q14.9	malformation congénitale de la chambre postérieure de l'oeil, non spécifiée
Q15.0	glaucome congénital
Q15.8	d'autres malformations congénitales spécifiées de l'oeil
Q15.9	malformation congénitale de l'oeil, non spécifiée
Q16.0	absence congénitale du pavillon d'une oreille
Q16.1	absence, atrésie et rétrécissement congénitaux du conduit auditif 
Q16.1	absence, atrésie et rétrécissement congénitaux du conduit auditif externe
Q16.2	absence de la trompe d'Eustache
Q16.3	malformation congénitale des osselets de l'oreille
Q16.4	d'autres malformations congénitales de l'oreille moyenne
Q16.5	malformation congénitale de l'oreille interne
Q16.9	malformation congénitale de l'oreille causant une réduction de l'audition, non spécifiée
Q17.0	pavillon de l'oreille surnuméraire
Q17.1	macrotie
Q20.3	communication ventriculo-auriculaire discordante
Q20.4	ventricule à double entrée
Q20.5	communication auriculo-ventriculaire discordante
Q20.6	isomérisme des auricules cardiaques
Q20.8	d'autres malformations congénitales des cavités et des orifices cardiaques
Q20.9	malformation congénitale des cavités et des orifices cardiaques, non spécifiée
Q21.0	anomalie du septum ventriculaire
Q21.1	anomalie du septum interauriculaire
Q21.2	anomalie du septum auriculo-ventriculaire
Q21.3	tétralogie de Fallot
Q21.4	anomalie du septum aorto-pulmonaire
Q21.0	anomalie de la communication interventriculaire
Q21.1	anomalie de la communication interauriculaire
Q21.2	anomalie de la communication auriculo-ventriculaire
Q21.3	tétralogie de Fallot
Q21.4	anomalie de la communication aorto-pulmonaire
Q21.8	d'autres malformations congénitales du septum cardiaque
Q21.9	malformation congénitale du septum cardiaque, non spécifiée
Q22.0	atrésie de la valve pulmonaire
Q22.1	sténose congénitale de la valve pulmonaire
Q22.2	insuffisance congénitale de la valve pulmonaire
Q22.3	d'autres malformations congénitales de la valve pulmonaire
Q22.4	sténose congénitale de la valve tricuspide
Q22.5	maladie d'Ebstein
Q22.6	hypoplasie du coeur droit
Q22.8	d'autres malformations congénitales de la valve tricuspide
Q22.9	malformation congénitale de la valve tricuspide, non spécifiée
Q23.0	sténose congénitale de la valve aortique
Q23.1	insuffisance congénitale de la valve aortique
Q23.2	sténose mitrale congénitale
Q23.3	insuffisance mitrale congénitale
Q23.4	hypoplasie du coeur gauche
Q23.8	d'autres malformations congénitales des valves aortiques et mitrales
Q23.9	malformation congénitale des valves aortiques et mitrales, non spécifiée
Q24.0	dextrocardie
Q24.1	lévocardie
Q24.2	coeur triatrial
Q24.3	sténose de l'infundibulum pulmonaire
Q24.4	sténose sous-aortique congénitale
Q24.5	malformation des vaisseaux coronaires
Q24.6	bloc congénital du coeur
Q24.8	d'autres malformations cardiaques congénitales spécifiées
Q24.9	malformation cardiaque congénitale, non spécifiée
Q25.0	perméabilité du canal artériel
Q25.1	coarctation de l'aorte
Q25.2	atrésie de l'aorte
Q25.3	sténose aortique supra-valvulaire
Q25.4	d'autres malformations congénitales de l'aorte
Q25.5	atrésie de l'artère pulmonaire
Q25.6	sténose de l'artère pulmonaire
Q25.71	coarctation de l'artère pulmonaire
Q25.72	malformation congénitale pulmonaire artérioveineuse
Q25.79	d'autres malformations congénitales de l'artère pulmonaire
Q25.8	d'autres malformations congénitales des grosses artères
Q25.9	malformations congénitales des grosses artères, non spécifiée
Q26.0	sténose congénitale de la veine cave
Q26.1	persistance de la veine cave supérieure gauche
Q26.2	anomalie du retour veineux pulmonaire total
Q26.3	anomalie du retour veineux pulmonaire partiel
Q26.4	anomalie du retour veineux pulmonaire, non spécifiée
Q26.5	anomalie du retour veineux portal
Q26.6	fistule entre la veine porte et l'artère hépatique
Q26.8	d'autres malformations congénitales des grandes veines
Q26.9	malformation congénitale de la grande veine, non spécifiée
Q27.0	absence congénitale et hypoplasie de l'artère ombilicale
Q27.1	sténose congénitale de l'artère rénale
Q27.2	d'autres malformations congénitales de l'artère rénale
Q27.30	malformation artérioveineuse, site non spécifié
