R00.0	tachycardie, non spécifiée
R00.1	bradycardie, non spécifiée
R00.2	palpitations
R00.8	d'autres anomalies du rythme cardiaque
R00.9	anomalies non spécifiées du rythme cardiaque
R01.0	souffle cardiaque physiologique bénin
R01.1	souffle cardiaque, non spécifié
R01.2	d'autres bruits cardiaques
R03.0	tension artérielle élevée, sans hypertension
R03.1	tension artérielle basse non spécifique
R04.0	épistaxis
R04.1	hémorragie de la gorge
R04.2	hémoptysie
R04.81	hémorragie pulmonaire aigue idiopathique de l'enfant
R04.81	hémorragie pulmonaire aigue idiopathique du bébé
R04.89	autre hémorragie du système respiratoire
R04.9	hémorragie du système respiratoire, non spécifiée
R05	toux
R06.0	dyspnée, non spécifiée
R06.1	orthopnée
R06.2	courtesse de l'haleine
R06.9	d'autres formes de dyspnée
R06.1	stridor
R06.2	sifflement respiratoire
R06.3	respiration périodique
R06.3	respiration périodique de Cheynes-Stokes
R06.3	respiration de Cheynes-Stokes
R06.4	hyperventilation
R06.5	respiration buccale
R06.6	hoquet
R06.7	éternuement
R06.81	apnée, non classée ailleurs
R06.82	tachypnée, non classée ailleurs
R06.83	ronflement
R06.89	d'autres anormalités de la respiration
R06.9	anormalités de la respiration non spécifiées
R07.0	douleur de la gorge
R07.1	douleur thoracique respiro-dépendante
R07.2	douleur précordiale
R07.81	pleurodynie
R07.82	douleur intercostale
R07.89	autre douleur thoracique
R07.9	douleur thoracique, non spécifiée
R09.1	asphyxie
R09.2	hypoxémie
R09.1	pleurésie
R09.2	arrêt respiratoire
R09.3	expectoration anormale
R09.81	congestion nasale
R09.82	écoulement nasal postérieur
R09.89	d'autres symptômes et signes spécifiés impliquant le système circulatoir et le système respiratoire
R10.0	syndrome abdominal aigu
R10.10	douleur abdominale supérieure, non spécifiée
R10.11	douleur abdominale, quadrant supérieur droit
R10.12	douleur abdominale, quadrant supérieur gauche
R10.13	douleur abdominale épigastrique
R10.2	douleur pelvienne et périnéale
R10.30	douleur abdominale inférieure, non spécifiée
R10.31	douleur abdominale, quadrant inférieur droit
R10.32	douleur abdominale, quadrant inférieur gauche
R10.33	douleur abdominale périombilicale
R10.811	sensibilité abdominale, quadrant supérieur droit
R10.812	sensibilité abdominale, quadrant supérieur gauche
R10.813	sensibilité abdominale, quadrant inférieur droit
R10.814	sensibilité abdominale, quadrant inférieur gauche
R10.815	sensibilité abdominale périombilicale
R10.816	sensibilité abdominale épigastrique
R10.817	sensibilité abdominale généralisée
R10.819	sensibilité abdominale, localisation non spécifiée
R10.821	sensibilité abdominale avec un signe du rebond, quadrant supérieur droit
R10.822	sensibilité abdominale avec un signe du rebond, quadrant supérieur gauche
R10.823	sensibilité abdominale avec un signe du rebond, quadrant inférieur droit
R10.824	sensibilité abdominale avec un signe du rebond, quadrant inférieur gauche
R10.825	sensibilité abdominale avec un signe du rebond, péri-ombilicale
R10.826	sensibilité abdominale avec un signe du rebond, épigastrique
R10.827	sensibilité abdominale avec un signe du rebond, généralisée
R10.829	sensibilité abdominale avec un signe du rebond, localisation non spécifiée
R10.83	coliques abdominales
R10.84	douleur abdominale généralisée
R10.9	douleur abdominale non spécifiée
R11.0	nausée
R11.10	vomissement, non spécifié
R11.11	vomissement sans nausée
