S58.922D	amputation traumatique partielle de l'avant-bras gauche, niveau non spécifié, contact subséquent
S58.922S	amputation traumatique partielle de l'avant-bras gauche, niveau non spécifié, séquelle
S58.929A	amputation traumatique partielle d'un avant-bras non spécifié, niveau non spécifié, contact initial
S58.929D	amputation traumatique partielle d'un avant-bras non spécifié, niveau non spécifié, contact subséquent
S58.929S	amputation traumatique partielle d'un avant-bras non spécifié, niveau non spécifié, séquelle
S59.001A	fracture épiphysaire non spécifiée de l'extrémité distale du cubitus droit, contact initial pour une fracture fermée
S59.002A	fracture épiphysaire non spécifiée de l'extrémité distale du cubitus gauche, contact initial pour une fracture fermée
S59.002D	fracture épiphysaire non spécifiée de l'extrémité distale du cubitus gauche, contact subséquent pour une consolidation normale
S59.002G	fracture épiphysaire non spécifiée de l'extrémité distale du cubitus gauche, contact subséquent pour une consolidation retardée
S59.002K	fracture épiphysaire non spécifiée de l'extrémité distale du cubitus gauche, contact subséquent pour pseudarthrose
S59.002P	fracture épiphysaire non spécifiée de l'extrémité distale du cubitus gauche, contact subséquent pour une fracture avec cal vicieux
S59.002S	fracture épiphysaire non spécifiée de l'extrémité distale du cubitus gauche, séquelle
S59.009A	fracture épiphysaire non spécifiée de l'extrémité distale du cubitus, côté non spécifié, contact initial pour une fracture fermée
S59.009D	fracture épiphysaire non spécifiée de l'extrémité distale du cubitus, côté non spécifié, contact subséquent pour une consolidation normale
S59.009G	fracture épiphysaire non spécifiée de l'extrémité distale du cubitus, côté non spécifié, contact subséquent pour une consolidation retardée
S59.009K	fracture épiphysaire non spécifiée de l'extrémité distale du cubitus, côté non spécifié, contact subséquent pour pseudarthrose
S59.009P	fracture épiphysaire non spécifiée de l'extrémité distale du cubitus, côté non spécifié, contact subséquent pour une fracture avec cal vicieux
S59.009S	fracture épiphysaire non spécifiée de l'extrémité distale du cubitus, côté non spécifié, séquelle
S59.011A	fracture épiphysaire de Salter-Harris type I de l'extrémité distale du cubitus droit, contact initial pour une fracture fermée
S59.011D	fracture épiphysaire de Salter-Harris type I de l'extrémité distale du cubitus droit, contact subséquent pour une consolidation normale
S59.011G	fracture épiphysaire de Salter-Harris type I de l'extrémité distale du cubitus droit, contact subséquent pour une consolidation retardée
S59.011K	fracture épiphysaire de Salter-Harris type I de l'extrémité distale du cubitus droit, contact subséquent pour pseudarthrose
S59.011P	fracture épiphysaire de Salter-Harris type I de l'extrémité distale du cubitus droit, contact subséquent pour une fracture avec cal vicieux
S59.011S	fracture épiphysaire de Salter-Harris type I de l'extrémité distale du cubitus droit, séquelle
S59.012A	fracture épiphysaire de Salter-Harris type I de l'extrémité distale du cubitus gauche, contact initial pour une fracture fermée
S59.012D	fracture épiphysaire de Salter-Harris type I de l'extrémité distale du cubitus gauche, contact subséquent pour une consolidation normale
S59.012G	fracture épiphysaire de Salter-Harris type I de l'extrémité distale du cubitus gauche, contact subséquent pour une consolidation retardée
S59.012K	fracture épiphysaire de Salter-Harris type I de l'extrémité distale du cubitus gauche, contact subséquent pour pseudarthrose
S59.012P	fracture épiphysaire de Salter-Harris type I de l'extrémité distale du cubitus gauche, contact subséquent pour une fracture avec cal vicieux
S59.012S	fracture épiphysaire de Salter-Harris type I de l'extrémité distale du cubitus gauche, séquelle
S59.019A	fracture épiphysaire de Salter-Harris type I de l'extrémité distale du cubitus, côté non spécifié, contact initial pour une fracture fermée
S59.019D	fracture épiphysaire de Salter-Harris type I de l'extrémité distale du cubitus, côté non spécifié, contact subséquent pour une consolidation normale
S59.019G	fracture épiphysaire de Salter-Harris type I de l'extrémité distale du cubitus, côté non spécifié, contact subséquent pour une consolidation retardée
S59.019K	fracture épiphysaire de Salter-Harris type I de l'extrémité distale du cubitus, côté non spécifié, contact subséquent pour pseudarthrose
S59.019P	fracture épiphysaire de Salter-Harris type I de l'extrémité distale du cubitus, côté non spécifié, contact subséquent pour une fracture avec cal vicieux
S59.019S	fracture épiphysaire de Salter-Harris type I de l'extrémité distale du cubitus, côté non spécifié, séquelle
S59.021A	fracture épiphysaire de Salter-Harris type II de l'extrémité distale du cubitus droit, contact initial pour une fracture fermée
S59.021D	fracture épiphysaire de Salter-Harris type II de l'extrémité distale du cubitus droit, contact subséquent pour une consolidation normale
S59.021G	fracture épiphysaire de Salter-Harris type II de l'extrémité distale du cubitus droit, contact subséquent pour une consolidation retardée
S59.021K	fracture épiphysaire de Salter-Harris type II de l'extrémité distale du cubitus droit, contact subséquent pour pseudarthrose
S59.021P	fracture épiphysaire de Salter-Harris type II de l'extrémité distale du cubitus droit, contact subséquent pour une fracture avec cal vicieux
S59.021S	fracture épiphysaire de Salter-Harris type II de l'extrémité distale du cubitus droit, séquelle
S59.022A	fracture épiphysaire de Salter-Harris type II de l'extrémité distale du cubitus gauche, contact initial pour une fracture fermée
S59.022D	fracture épiphysaire de Salter-Harris type II de l'extrémité distale du cubitus gauche, contact subséquent pour une consolidation normale
S59.022G	fracture épiphysaire de Salter-Harris type II de l'extrémité distale du cubitus gauche, contact subséquent pour une consolidation retardée
S59.022K	fracture épiphysaire de Salter-Harris type II de l'extrémité distale du cubitus gauche, contact subséquent pour pseudarthrose
S59.022P	fracture épiphysaire de Salter-Harris type II de l'extrémité distale du cubitus gauche, contact subséquent pour une fracture avec cal vicieux
S59.022S	fracture épiphysaire de Salter-Harris type II de l'extrémité distale du cubitus gauche, séquelle
S59.029A	fracture épiphysaire de Salter-Harris type II de l'extrémité distale du cubitus, côté non spécifié, contact initial pour une fracture fermée
S59.029D	fracture épiphysaire de Salter-Harris type II de l'extrémité distale du cubitus, côté non spécifié, contact subséquent pour une consolidation normale
S59.029G	fracture épiphysaire de Salter-Harris type II de l'extrémité distale du cubitus, côté non spécifié, contact subséquent pour une consolidation retardée
S59.029K	fracture épiphysaire de Salter-Harris type II de l'extrémité distale du cubitus, côté non spécifié, contact subséquent pour pseudarthrose
S59.029P	fracture épiphysaire de Salter-Harris type II de l'extrémité distale du cubitus, côté non spécifié, contact subséquent pour une fracture avec cal vicieux
S59.029S	fracture épiphysaire de Salter-Harris type II de l'extrémité distale du cubitus, côté non spécifié, séquelle
S59.031A	fracture épiphysaire de Salter-Harris type III de l'extrémité distale du cubitus droit, contact initial pour une fracture fermée
S59.031D	fracture épiphysaire de Salter-Harris type III de l'extrémité distale du cubitus droit, contact subséquent pour une consolidation normale
S59.031G	fracture épiphysaire de Salter-Harris type III de l'extrémité distale du cubitus droit, contact subséquent pour une consolidation retardée
S59.031K	fracture épiphysaire de Salter-Harris type III de l'extrémité distale du cubitus droit, contact subséquent pour pseudarthrose
S59.031P	fracture épiphysaire de Salter-Harris type III de l'extrémité distale du cubitus droit, contact subséquent pour une fracture avec cal vicieux
S59.031S	fracture épiphysaire de Salter-Harris type III de l'extrémité distale du cubitus droit, séquelle
S59.032A	fracture épiphysaire de Salter-Harris type III de l'extrémité distale du cubitus gauche, contact initial pour une fracture fermée
S59.032D	fracture épiphysaire de Salter-Harris type III de l'extrémité distale du cubitus gauche, contact subséquent pour une consolidation normale
S59.032G	fracture épiphysaire de Salter-Harris type III de l'extrémité distale du cubitus gauche, contact subséquent pour une consolidation retardée
S59.032K	fracture épiphysaire de Salter-Harris type III de l'extrémité distale du cubitus gauche, contact subséquent pour pseudarthrose
S59.032P	fracture épiphysaire de Salter-Harris type III de l'extrémité distale du cubitus gauche, contact subséquent pour une fracture avec cal vicieux
S59.032S	fracture épiphysaire de Salter-Harris type III de l'extrémité distale du cubitus gauche, séquelle
