T07	multiples traumatismes non spécifiés
T14.8	autre traumatisme d'une région corporelle non spécifiée
T14.90	traumatisme, non spécifiée
T14.91	tentative de suicide
T15.00XA	corps étranger dans la cornée, oeil non spécifié, contact initial
T15.00XD	corps étranger dans la cornée, oeil non spécifié, contact subséquent
T15.00XS	corps étranger dans la cornée, oeil non spécifié, séquelle
T15.01XA	corps étranger dans la cornée, oeil droit, contact initial
T15.01XD	corps étranger dans la cornée, oeil droit, contact subséquent
T15.01XS	corps étranger dans la cornée, oeil droit, séquelle
T15.02XA	corps étranger dans la cornée, oeil gauche, contact initial
T15.02XD	corps étranger dans la cornée, oeil gauche, contact subséquent
T15.02XS	corps étranger dans la cornée, oeil gauche, séquelle
T15.10XA	corps étranger conjonctival, oeil non spécifié, contact initial
T15.10XD	corps étranger dans le sac conjonctival, oeil non spécifié, contact subséquent
T15.10XS	corps étranger dans le sac conjonctival, oeil non spécifié, séquelle
T15.11XA	corps étranger dans le sac conjonctival, oeil droit, contact initial
T15.11XD	corps étranger dans le sac conjonctival, oeil droit, contact subséquent
T15.11XS	corps étranger dans le sac conjonctival, oeil droit, séquelle
T15.12XA	corps étranger dans le sac conjonctival, oeil gauche, contact initial
T15.12XD	corps étranger dans le sac conjonctival, oeil gauche, contact subséquent
T15.12XS	corps étranger dans le sac conjonctival, oeil gauche, séquelle
T15.80XA	corps étranger dans d'autres et multiples parties de l'oeil externe, oeil non spécifié, contact initial
T15.80XD	corps étranger dans d'autres et multiples parties de l'oeil externe, oeil non spécifié, contact subséquent
T15.80XS	corps étranger dans d'autres et multiples parties de l'oeil externe, oeil non spécifié, séquelle
T15.81XA	corps étranger dans d'autres et multiples parties de l'oeil externe, oeil droit, contact initial
T15.81XD	corps étranger dans d'autres et multiples parties de l'oeil externe, oeil droit, contact subséquent
T15.81XS	corps étranger dans d'autres et multiples parties de l'oeil externe, oeil droit, séquelle
T15.82XA	corps étranger dans d'autres et multiples parties de l'oeil externe, oeil gauche, contact initial
T15.82XD	corps étranger dans d'autres et multiples parties de l'oeil externe, oeil gauche, contact subséquent
T15.82XS	corps étranger dans d'autres et multiples parties de l'oeil externe, oeil gauche, séquelle
T15.90XA	corps étranger au niveau de l'oeil externe, partie non spécifiée, oeil non spécifié, contact initial
T15.90XD	corps étranger au niveau de l'oeil externe, partie non spécifiée, oeil non spécifié, contact subséquent
T15.90XS	corps étranger au niveau de l'oeil externe, partie non spécifiée, oeil non spécifié, séquelle
T15.91XA	corps étranger au niveau de l'oeil externe, partie non spécifiée, oeil droit, contact initial
T15.91XD	corps étranger au niveau de l'oeil externe, partie non spécifiée, oeil droit, contact subséquent
T15.91XS	corps étranger au niveau de l'oeil externe, partie non spécifiée, oeil droit, séquelle
T15.92XA	corps étranger au niveau de l'oeil externe, partie non spécifiée, oeil gauche, contact initial
T15.92XD	corps étranger au niveau de l'oeil externe, partie non spécifiée, oeil gauche, contact subséquent
T15.92XS	corps étranger au niveau de l'oeil externe, partie non spécifiée, oeil gauche, séquelle
T16.1XXA	corps étranger dans l'oreille droite, contact initial
T16.1XXD	corps étranger dans l'oreille droite, contact subséquent
T16.1XXS	corps étranger dans l'oreille droite, séquelle
T16.2XXA	corps étranger dans l'oreille gauche, contact initial
T16.2XXD	corps étranger dans l'oreille gauche, contact subséquent
T16.2XXS	corps étranger dans l'oreille gauche, séquelle
T16.9XXA	corps étranger dans l'oreille, oreille non spécifiée, contact initial
T16.9XXD	corps étranger dans l'oreille, oreille non spécifiée, contact subséquent
T16.9XXS	corps étranger dans l'oreille, oreille non spécifiée, séquelle
T17.0XXA	corps étranger dans un sinus nasal, contact initial
T17.0XXD	corps étranger dans un sinus nasal, contact subséquent
T17.0XXS	corps étranger dans un sinus nasal, séquelle
T17.1XXA	corps étranger dans une narine, contact initial
T17.208A	corps étranger non spécifié dans le pharynx, causant un autre traumatisme, contact initial
T17.208D	corps étranger non spécifié dans le pharynx, causant un autre traumatisme, contact subséquent
T17.208S	corps étranger non spécifié dans le pharynx, causant un autre traumatisme, séquelle
T17.210A	contenu gastrique dans le pharynx, causant l'asphyxie, contact initial
T17.210D	contenu gastrique dans le pharynx, causant l'asphyxie, contact subséquent
T17.210S	contenu gastrique dans le pharynx, causant l'asphyxie, séquelle
T17.218A	contenu gastrique dans le pharynx, causant un autre traumatisme, contact initial
T17.218D	contenu gastrique dans le pharynx, causant un autre traumatisme, contact subséquent
T17.218S	contenu gastrique dans le pharynx, causant un autre traumatisme, séquelle
T17.220A	nourriture dans le pharynx, causant l'asphyxie, contact initial
T17.220D	nourriture dans le pharynx, causant l'asphyxie, contact subséquent
T17.220S	nourriture dans le pharynx, causant l'asphyxie, séquelle
T17.228A	nourriture dans le pharynx, causant un autre traumatisme, contact initial
T17.228D	nourriture dans le pharynx, causant un autre traumatisme, contact subséquent
T17.228S	nourriture dans le pharynx, causant un autre traumatisme, séquelle
T17.290A	autre corps étranger dans le pharynx, causant l'asphyxie, contact initial
T17.290D	autre corps étranger dans le pharynx, causant l'asphyxie, contact subséquent
T17.290S	autre corps étranger dans le pharynx, causant l'asphyxie, séquelle
T17.298A	autre corps étranger dans le pharynx, causant un autre traumatisme, contact initial
T17.298D	autre corps étranger dans le pharynx, causant un autre traumatisme, contact subséquent
T17.298S	autre corps étranger dans le pharynx, causant un autre traumatisme, séquelle
T17.300A	corps étranger non spécifié dans le larynx, causant l'asphyxie, contact initial
T17.300D	corps étranger non spécifié dans le larynx, causant l'asphyxie, contact subséquent
T17.300S	corps étranger non spécifié dans le larynx, causant l'asphyxie, séquelle
T17.308A	corps étranger non spécifié dans le larynx, causant un autre traumatisme, contact initial
T17.308D	corps étranger non spécifié dans le larynx, causant un autre traumatisme, contact subséquent
T17.308S	corps étranger non spécifié dans le larynx, causant un autre traumatisme, séquelle
T17.310A	contenu gastrique dans le larynx, causant l'asphyxie, contact initial
T17.310D	contenu gastrique dans le larynx, causant l'asphyxie, contact subséquent
T17.310S	contenu gastrique dans le larynx, causant l'asphyxie, séquelle
T17.318A	contenu gastrique dans le larynx, causant un autre traumatisme, contact initial
