W00.0XXA	chute sur le même niveau due à la glace et la neige, contact initial
W00.0XXD	chute sur le même niveau due à la glace et la neige, contact subséquent
W00.0XXS	chute sur le même niveau due à la glace et la neige, séquelle
W00.1XXA	chute de l'escalier et des marches due à la glace et la neige, contact initial
W00.1XXD	chute de l'escalier et des marches due à la glace et la neige, contact subséquent
W00.1XXS	chute de l'escalier et des marches due à la glace et la neige, séquelle
W00.2XXA	autre chute d'un niveau à un autre due à la glace et la neige, contact initial
W00.2XXD	autre chute d'un niveau à un autre due à la glace et la neige, contact subséquent
W00.2XXS	autre chute d'un niveau à un autre due à la glace et la neige, séquelle
W00.9XXA	chute non spécifiée due à la glace et la neige, contact initial
W00.9XXD	chute non spécifiée due à la glace et la neige, contact subséquent
W00.9XXS	chute non spécifiée due à la glace et la neige, séquelle
W01.0XXA	chute sur le même niveau par un glissade, faux pas et trébuchement sans heurt contre un objet, contact initial
W01.0XXD	chute sur le même niveau par un glissade, faux pas et trébuchement sans heurt contre un objet, contact subséquent
W01.0XXS	chute sur le même niveau par un glissade, faux pas et trébuchement sans heurt contre un objet, séquelle
W01.10XA	chute sur le même niveau par un glissade, faux pas et trébuchement avec un heurt contre un objet non spécifié, contact initial
W01.10XD	chute sur le même niveau par un glissade, faux pas et trébuchement avec un heurt contre un objet non spécifié, contact subséquent
W01.10XS	chute sur le même niveau par un glissade, faux pas et trébuchement avec un heurt contre un objet non spécifié, séquelle
W01.110A	chute sur le même niveau par un glissade, faux pas et trébuchement avec un heurt contre verre tranchant, contact initial
W01.110D	chute sur le même niveau par un glissade, faux pas et trébuchement avec un heurt contre verre tranchant, contact subséquent
W01.110S	chute sur le même niveau par un glissade, faux pas et trébuchement avec un heurt contre verre tranchant, séquelle
W01.111A	chute sur le même niveau par un glissade, faux pas et trébuchement avec un heurt contre un objet électrique ou une machine, contact initial
W01.111D	chute sur le même niveau par un glissade, faux pas et trébuchement avec un heurt contre un objet électrique ou une machine, contact subséquent
W01.111S	chute sur le même niveau par un glissade, faux pas et trébuchement avec un heurt contre un objet électrique ou une machine, séquelle
W01.118A	chute sur le même niveau par un glissade, faux pas et trébuchement avec un heurt contre un autre objet tranchant, contact initial
W01.118D	chute sur le même niveau par un glissade, faux pas et trébuchement avec un heurt contre un autre objet tranchant, contact subséquent
W01.118S	chute sur le même niveau par un glissade, faux pas et trébuchement avec un heurt contre un autre objet tranchant, séquelle
W01.119A	chute sur le même niveau par un glissade, faux pas et trébuchement avec un heurt contre un objet tranchant non spécifié, contact initial
W01.119D	chute sur le même niveau par un glissade, faux pas et trébuchement avec un heurt contre un objet tranchant non spécifié, contact subséquent
W01.119S	chute sur le même niveau par un glissade, faux pas et trébuchement avec un heurt contre un objet tranchant non spécifié, séquelle
W01.190A	chute sur le même niveau par un glissade, faux pas et trébuchement avec un heurt contre du mobilier, contact initial
W01.190D	chute sur le même niveau par un glissade, faux pas et trébuchement avec un heurt contre du mobilier, contact subséquent
W01.190S	chute sur le même niveau par un glissade, faux pas et trébuchement avec un heurt contre du mobilier, séquelle
W01.198A	chute sur le même niveau par un glissade, faux pas et trébuchement avec un heurt contre un autre objet, contact initial
W01.198D	chute sur le même niveau par un glissade, faux pas et trébuchement avec un heurt contre un autre objet, contact subséquent
W01.198S	chute sur le même niveau par un glissade, faux pas et trébuchement avec un heurt contre un autre objet, séquelle
W03.XXXA	autre chute sur le même niveau due à une collision avec une autre personne, contact initial
W03.XXXD	autre chute sur le même niveau due à une collision avec une autre personne, contact subséquent
W03.XXXS	autre chute sur le même niveau due à une collision avec une autre personne, séquelle
W04.XXXA	chute en étant porté ou soutenu par d'autres personnes, contact initial
W04.XXXD	chute en étant porté ou soutenu par d'autres personnes, contact subséquent
W04.XXXS	chute en étant porté ou soutenu par d'autres personnes, séquelle
W05.0XXA	chute d'un fauteuil roulant immobile, contact initial
W05.0XXD	chute d'un fauteuil roulant immobile, contact subséquent
W05.0XXS	chute d'un fauteuil roulant immobile, séquelle
W05.1XXA	chute d'un scooter non motorisé immobile, contact initial
W05.1XXD	chute d'un scooter non motorisé immobile, contact subséquent
W05.1XXS	chute d'un scooter non motorisé immobile, séquelle
W05.2XXA	chute d'un scooter motorisé immobile, contact initial
W05.2XXD	chute d'un scooter motorisé immobile, contact subséquent
W05.2XXS	chute d'un scooter motorisé immobile, séquelle
W06.XXXA	chute d'un lit, contact initial
W06.XXXD	chute d'un lit, contact subséquent
W06.XXXS	chute d'un lit, séquelle
W07.XXXA	chute d'une chaise, contact initial
W07.XXXD	chute d'une chaise, contact subséquent
W07.XXXS	chute d'une chaise, séquelle
W08.XXXA	chute d'autre mobilier, contact initial
W08.XXXD	chute d'autre mobilier, contact subséquent
W08.XXXS	chute d'autre mobilier, séquelle
W09.0XXA	chute sur ou d'un toboggan, contact initial
W09.0XXD	chute sur ou d'un toboggan, contact subséquent
W09.0XXS	chute sur ou d'un toboggan, séquelle
W09.1XXA	chute d'une balançoire, contact initial
W09.1XXD	chute d'une balançoire, contact subséquent
W09.1XXS	chute d'une balançoire, séquelle
W09.2XXA	chute sur ou d'une cage à écureuil, contact initial
W09.2XXD	chute sur ou d'une cage à écureuil, contact subséquent
W09.2XXS	chute sur ou d'une cage à écureuil, séquelle
W09.8XXA	chute sur ou à partir d'un autre équipement de plaine de jeux, contact initial
W09.8XXD	chute sur ou à partir d'un autre équipement de plaine de jeux, contact subséquent
W09.8XXS	chute sur ou à partir d'un autre équipement de plaine de jeux, séquelle
W10.0XXA	chute sur ou d'un escalator, contact initial
W10.0XXD	chute sur ou d'un escalator, contact subséquent
W10.0XXS	chute sur ou d'un escalator, séquelle
W10.1XXA	chute sur ou de la bordure d'un trottoir, contact initial
W10.1XXD	chute sur ou de la bordure d'un trottoir, contact subséquent
W10.1XXS	chute sur ou de la bordure d'un trottoir, séquelle
W10.2XXA	chute sur ou d'une pente, contact initial
W10.2XXD	chute sur ou d'une pente, contact subséquent
W10.2XXS	chute sur ou d'une pente, séquelle
W10.8XXA	chute sur ou d'un autre escalier et des marches, contact initial
