Y35.412A	intervention légale avec un traumatisme d'un passant par une baïonnette, contact initial
Y35.412D	intervention légale avec un traumatisme d'un passant par une baïonnette, contact subséquent
Y35.412S	intervention légale avec un traumatisme d'un passant par une baïonnette, séquelle
Y35.413A	intervention légale avec un traumatisme d'un suspect par une baïonnette, contact initial
Y35.413D	intervention légale avec un traumatisme d'un suspect par une baïonnette, contact subséquent
Y35.413S	intervention légale avec un traumatisme d'un suspect par une baïonnette, séquelle
Y36.040A	faits de guerre avec l'explosion d'une torpille, personnel militaire, contact initial
Y36.040D	faits de guerre avec l'explosion d'une torpille, personnel militaire, contact subséquent
Y36.040S	faits de guerre avec l'explosion d'une torpille, personnel militaire, séquelle
Y36.041A	faits de guerre avec l'explosion d'une torpille, personne civile, contact initial
Y36.041D	faits de guerre avec l'explosion d'une torpille, personne civile, contact subséquent
Y36.041S	faits de guerre avec l'explosion d'une torpille, personne civile, séquelle
Y36.490D	faits de guerre avec d'autres formes de guerre conventionnelle, personnel militaire, contact subséquent
Y36.490S	faits de guerre avec d'autres formes de guerre conventionnelle, personnel militaire, séquelle
Y36.491A	faits de guerre avec d'autres formes de guerre conventionnelle, personne civile, contact initial
Y36.491D	faits de guerre avec d'autres formes de guerre conventionnelle, personne civile, contact subséquent
Y36.491S	faits de guerre avec d'autres formes de guerre conventionnelle, personne civile, séquelle
Y00.XXXA	agression par un objet contondant, contact initial
Y00.XXXD	agression par un objet contondant, contact subséquent
Y00.XXXS	agression par un objet contondant, séquelle
Y01.XXXA	agression par une poussée dans le vide, contact initial
Y01.XXXD	agression par une poussée dans le vide, contact subséquent
Y01.XXXS	agression par une poussée dans le vide, séquelle
Y02.0XXA	agression en poussant ou en plaçant la victime devant un véhicule motorisé, contact initial
Y02.0XXD	agression en poussant ou en plaçant la victime devant un véhicule motorisé, contact subséquent
Y02.0XXS	agression en poussant ou en plaçant la victime devant un véhicule motorisé, séquelle
Y02.1XXA	agression en poussant ou en plaçant la victime devant un (métro) train, contact initial
Y02.1XXD	agression en poussant ou en plaçant la victime devant un (métro) train, contact subséquent
Y02.1XXS	agression en poussant ou en plaçant la victime devant un (métro) train, séquelle
Y02.8XXA	agression en poussant ou en plaçant la victime devant un autre objet en mouvement, contact initial
Y02.8XXD	agression en poussant ou en plaçant la victime devant un autre objet en mouvement, contact subséquent
Y02.8XXS	agression en poussant ou en plaçant la victime devant un autre objet en mouvement, séquelle
Y03.0XXA	agression par un choc ou un écrasement par un véhicule motorisé, contact initial
Y03.0XXD	agression par un choc ou un écrasement par un véhicule motorisé, contact subséquent
Y03.0XXS	agression par un choc ou un écrasement par un véhicule motorisé, séquelle
Y03.8XXA	autre agression par un crash d'un véhicule motorisé, contact initial
Y03.8XXD	autre agression par un crash d'un véhicule motorisé, contact subséquent
Y03.8XXS	autre agression par un crash d'un véhicule motorisé, séquelle
Y04.0XXA	agression par une rixe ou une bagarre sans arme, contact initial
Y04.0XXD	agression par une rixe ou une bagarre sans arme, contact subséquent
Y04.0XXS	agression par une rixe ou une bagarre sans arme, séquelle
Y04.1XXA	agression par une morsure humaine, contact initial
Y04.1XXD	agression par une morsure humaine, contact subséquent
Y04.1XXS	agression par une morsure humaine, séquelle
Y04.2XXA	agression par une frappe ou un heurt contre une autre personne, contact initial
Y04.2XXD	agression par une frappe ou un heurt contre une autre personne, contact subséquent
Y04.2XXS	agression par une frappe ou un heurt contre une autre personne, séquelle
Y04.8XXA	agression par une autre force physique, contact initial
Y04.8XXD	agression par une autre force physique, contact subséquent
Y04.8XXS	agression par une autre force physique, séquelle
Y07.1	maltraitance et négligence par l'époux
Y07.2	maltraitance et négligence par l'épouse
Y07.3	maltraitance et négligence par le partenaire masculin
Y07.4	maltraitance et négligence par le partenaire féminin
Y07.11	maltraitance et négligence par le père biologique
Y07.12	maltraitance et négligence par la mère biologique
Y07.13	maltraitance et négligence par le père adoptif
Y07.14	maltraitance et négligence par la mère adoptive
Y07.410	maltraitance et négligence par le frère
Y07.411	maltraitance et négligence par la soeur
Y07.420	maltraitance et négligence par le père nourricier
Y07.421	maltraitance et négligence par la mère nourricière
Y07.430	maltraitance et négligence par le beau-père
Y07.432	maltraitance et négligence par l'ami d'un parent (co-résidant dans le ménage)
Y07.433	maltraitance et négligence par la belle-mère
Y07.434	maltraitance et négligence par l'amie d'un parent (co-résidante dans le ménage)
Y07.435	maltraitance et négligence par un demi-frère
Y07.436	maltraitance et négligence par une demi-soeur
Y07.490	maltraitance et négligence par un cousin
Y07.491	maltraitance et négligence par une cousine
Y07.499	maltraitance et négligence par un autre membre de famille
Y07.50	maltraitance et négligence par une personne non spécifiée, non membre de famille
Y07.510	maltraitance et négligence par un prestataire de soins aux enfants à domicile
Y07.511	maltraitance et négligence par un prestataire de soins aux enfants dans un centre de soins de jour
Y07.512	maltraitance et négligence par un prestataire de soins aux adultes à domicile
Y07.513	maltraitance et négligence par un prestataire de soins aux adultes dans un centre de soins
Y07.519	maltraitance et négligence par un prestataire de soins de jour non spécifié
Y07.521	maltraitance et négligence par un prestataire de soins mentales
Y07.528	maltraitance et négligence par un autre prestataire de soins ou thérapeute
Y07.529	maltraitance et négligence par un prestataire de soins de santé non spécifié
Y07.53	maltraitance et négligence par un enseignant ou un instructeur
Y07.59	maltraitance et négligence par une autre personne non membre de famille
Y07.9	maltraitance et négligence par un auteur non spécifié
Y08.01XA	agression par un coup d'une crosse de hockey, contact initial
Y08.01XD	agression par un coup d'une crosse de hockey, contact subséquent
Y08.01XS	agression par un coup d'une crosse de hockey, séquelle
Y08.02XA	agression par un coup d'une batte de baseball, contact initial
Y08.02XD	agression par un coup d'une batte de baseball, contact subséquent
Y08.02XS	agression par un coup d'une batte de baseball, séquelle
Y08.09XA	agression par un coup par un autre type d'équipement sportif spécifié, contact initial
Y08.09XD	agression par un coup par un autre type d'équipement sportif spécifié, contact subséquent
Y08.09XS	agression par un coup par un autre type d'équipement sportif spécifié, séquelle
Y08.81XA	agression par un crash d'un aéronef, contact initial
Y08.81XD	agression par un crash d'un aéronef, contact subséquent
Y08.81XS	agression par un crash d'un aéronef, séquelle
Y08.89XA	agression par d'autres moyens spécifiés, contact initial
Y08.89XD	agression par d'autres moyens spécifiés, contact subséquent
Y08.89XS	agression par d'autres moyens spécifiés, séquelle
Y09	agression par des moyens non spécifiés
Y21.0XXA	noyade et submersion dans une baignoire, intention indéterminée, contact initial
Y21.0XXD	noyade et submersion dans une baignoire, intention indéterminée, contact subséquent
Y21.0XXS	noyade et submersion dans une baignoire, intention indéterminée, séquelle
Y21.1XXA	noyade et submersion après une chute dans une baignoire, intention indéterminée, contact initial
Y21.1XXD	noyade et submersion après une chute dans une baignoire, intention indéterminée, contact subséquent
Y21.1XXS	noyade et submersion après une chute dans une baignoire, intention indéterminée, séquelle
Y21.2XXA	noyade et submersion dans une piscine, intention indéterminée, contact initial
Y21.2XXD	noyade et submersion dans une piscine, intention indéterminée, contact subséquent
Y21.2XXS	noyade et submersion dans une piscine, intention indéterminée, séquelle
Y21.3XXA	noyade et submersion après une chute dans une piscine, intention indéterminée, contact initial
Y21.3XXD	noyade et submersion après une chute dans une piscine, intention indéterminée, contact subséquent
Y21.3XXS	noyade et submersion après une chute dans une piscine, intention indéterminée, séquelle
Y21.4XXA	noyade et submersion dans des eaux naturelles, intention indéterminée, contact initial
Y21.4XXD	noyade et submersion dans des eaux naturelles, intention indéterminée, contact subséquent
Y21.4XXS	noyade et submersion dans des eaux naturelles, intention indéterminée, séquelle
Y21.8XXA	autre noyade et submersion, intention indéterminée, contact initial
Y21.8XXD	autre noyade et submersion, intention indéterminée, contact subséquent
Y21.8XXS	autre noyade et submersion, intention indéterminée, séquelle
Y21.9XXA	noyade et submersion non spécifiées, intention indéterminée, contact initial
Y21.9XXD	noyade et submersion non spécifiées, intention indéterminée, contact subséquent
Y21.9XXS	noyade et submersion non spécifiées, intention indéterminée, séquelle
Y22.XXXA	décharge d'une arme de poing, intention indéterminée, contact initial
Y22.XXXD	décharge d'une arme de poing, intention indéterminée, contact subséquent
Y22.XXXS	décharge d'une arme de poing, intention indéterminée, séquelle
Y23.0XXA	décharge d'un fusil, intention indéterminée, contact initial
Y23.0XXD	décharge d'un fusil, intention indéterminée, contact subséquent
Y23.0XXS	décharge d'un fusil, intention indéterminée, séquelle
Y23.1XXA	décharge d'un fusil de chasse, intention indéterminée, contact initial
Y23.1XXD	décharge d'un fusil de chasse, intention indéterminée, contact subséquent
Y23.1XXS	décharge d'un fusil de chasse, intention indéterminée, séquelle
Y23.2XXA	décharge d'une arme à feu militaire, intention indéterminée, contact initial
Y23.2XXD	décharge d'une arme à feu militaire, intention indéterminée, contact subséquent
Y23.2XXS	décharge d'une arme à feu militaire, intention indéterminée, séquelle
Y23.3XXA	décharge d'une mitrailleuse, intention indéterminée, contact initial
Y23.3XXD	décharge d'une mitrailleuse, intention indéterminée, contact subséquent
Y23.3XXS	décharge d'une mitrailleuse, intention indéterminée, séquelle
Y23.8XXA	décharge d'une autre arme à feu de plus grande taille, intention indéterminée, contact initial
Y23.8XXD	décharge d'une autre arme à feu de plus grande taille, intention indéterminée, contact subséquent
Y23.8XXS	décharge d'une autre arme à feu de plus grande taille, intention indéterminée, séquelle
Y23.9XXA	décharge d'une arme à feu de plus grande taille non spécifiée, intention indéterminée, contact initial
Y23.9XXD	décharge d'une arme à feu de plus grande taille non spécifiée, intention indéterminée, contact subséquent
Y23.9XXS	décharge d'une arme à feu de plus grande taille non spécifiée, intention indéterminée, séquelle
Y24.0XXA	décharge d'une arme à air comprimé, intention indéterminée, contact initial
Y24.0XXD	décharge d'une arme à air comprimé, intention indéterminée, contact subséquent
Y24.0XXS	décharge d'une arme à air comprimé, intention indéterminée, séquelle
Y24.8XXA	décharge d'une autre arme à feu, intention indéterminée, contact initial
Y24.8XXD	décharge d'une autre arme à feu, intention indéterminée, contact subséquent
Y24.8XXS	décharge d'une autre arme à feu, intention indéterminée, séquelle
Y24.9XXA	décharge d'une arme à feu non spécifiée, intention indéterminée, contact initial
Y24.9XXD	décharge d'une arme à feu non spécifiée, intention indéterminée, contact subséquent
Y24.9XXS	décharge d'une arme à feu non spécifiée, intention indéterminée, séquelle
Y25.XXXA	contact avec un matériel explosif, intention indéterminée, contact initial
Y25.XXXD	contact avec un matériel explosif, intention indéterminée, contact subséquent
Y25.XXXS	contact avec un matériel explosif, intention indéterminée, séquelle
Y26.XXXA	exposition à de la fumée, du feu et des flammes, intention indéterminée, contact initial
Y26.XXXD	exposition à de la fumée, du feu et des flammes, intention indéterminée, contact subséquent
Y26.XXXS	exposition à de la fumée, du feu et des flammes, intention indéterminée, séquelle
Y27.0XXA	contact avec de la vapeur d'eau et des vapeurs chaudes, intention indéterminée, contact initial
Y27.0XXD	contact avec de la vapeur d'eau et des vapeurs chaudes, intention indéterminée, contact subséquent
Y27.0XXS	contact avec de la vapeur d'eau et des vapeurs chaudes, intention indéterminée, séquelle
Y27.1XXA	contact avec de l'eau chaude du robinet, intention indéterminée, contact initial
Y27.1XXD	contact avec de l'eau chaude du robinet, intention indéterminée, contact subséquent
Y27.1XXS	contact avec de l'eau chaude du robinet, intention indéterminée, séquelle
Y27.2XXA	contact avec des liquides chauds, intention indéterminée, contact initial
Y27.2XXD	contact avec des liquides chauds, intention indéterminée, contact subséquent
Y27.2XXS	contact avec des liquides chauds, intention indéterminée, séquelle
Y27.3XXA	contact avec un appareil électro-ménager chaud, intention indéterminée, contact initial
Y27.3XXD	contact avec un appareil électro-ménager chaud, intention indéterminée, contact subséquent
Y27.3XXS	contact avec un appareil électro-ménager chaud, intention indéterminée, séquelle
Y27.8XXA	contact avec d'autres objets chauds, intention indéterminée, contact initial
Y27.8XXD	contact avec d'autres objets chauds, intention indéterminée, contact subséquent
Y27.8XXS	contact avec d'autres objets chauds, intention indéterminée, séquelle
Y27.9XXA	contact avec des objets chauds non spécifiés, intention indéterminée, contact initial
Y27.9XXD	contact avec des objets chauds non spécifiés, intention indéterminée, contact subséquent
Y27.9XXS	contact avec des objets chauds non spécifiés, intention indéterminée, séquelle
Y28.0XXA	contact avec un verre tranchant, intention indéterminée, contact initial
Y28.0XXD	contact avec un verre tranchant, intention indéterminée, contact subséquent
Y28.0XXS	contact avec un verre tranchant, intention indéterminée, séquelle
Y28.1XXA	contact avec un couteau, intention indéterminée, contact initial
Y28.1XXD	contact avec un couteau, intention indéterminée, contact subséquent
Y28.1XXS	contact avec un couteau, intention indéterminée, séquelle
Y28.2XXA	contact avec une épée ou une dague, intention indéterminée, contact initial
Y28.2XXD	contact avec une épée ou une dague, intention indéterminée, contact subséquent
Y28.2XXS	contact avec une épée ou une dague, intention indéterminée, séquelle
Y28.8XXA	contact avec un autre objet tranchant, intention indéterminée, contact initial
Y28.8XXD	contact avec un autre objet tranchant, intention indéterminée, contact subséquent
Y28.8XXS	contact avec un autre objet tranchant, intention indéterminée, séquelle
Y28.9XXA	contact avec un objet tranchant non spécifié, intention indéterminée, contact initial
Y28.9XXD	contact avec un objet tranchant non spécifié, intention indéterminée, contact subséquent
Y28.9XXS	contact avec un objet tranchant non spécifié, intention indéterminée, séquelle
Y29.XXXA	contact avec un objet contondant, intention indéterminée, contact initial
Y29.XXXD	contact avec un objet contondant, intention indéterminée, contact subséquent
Y29.XXXS	contact avec un objet contondant, intention indéterminée, séquelle
Y30.XXXA	chute, saut ou précipitation par une poussée dans le vide, intention indéterminée, contact initial
Y30.XXXD	chute, saut ou précipitation par une poussée dans le vide, intention indéterminée, contact subséquent
Y30.XXXS	chute, saut ou précipitation par une poussée dans le vide, intention indéterminée, séquelle
Y31.XXXA	victime tombée, couchée ou courant devant ou contre un objet en mouvement, intention indéterminée, contact initial
Y31.XXXD	victime tombée, couchée ou courant devant ou contre un objet en mouvement, intention indéterminée, contact subséquent
Y31.XXXS	victime tombée, couchée ou courant devant ou contre un objet en mouvement, intention indéterminée, séquelle
Y32.XXXA	crash d'un véhicule motorisé, intention indéterminée, contact initial
Y32.XXXD	crash d'un véhicule motorisé, intention indéterminée, contact subséquent
Y32.XXXS	crash d'un véhicule motorisé, intention indéterminée, séquelle
Y33.XXXA	d'autres événements spécifiés, intention indéterminée, contact initial
Y33.XXXD	d'autres événements spécifiés, intention indéterminée, contact subséquent
Y33.XXXS	d'autres événements spécifiés, intention indéterminée, séquelle
Y35.001A	intervention légale avec un traumatisme d'un représentant de la loi par la décharge d'une arme à feu non spécifiée, contact initial
Y35.001D	intervention légale avec un traumatisme d'un représentant de la loi par la décharge d'une arme à feu non spécifiée, contact subséquent
Y35.001S	intervention légale avec un traumatisme d'un représentant de la loi par la décharge d'une arme à feu non spécifiée, séquelle
Y35.002A	intervention légale avec un traumatisme d'un passant par la décharge d'une arme à feu non spécifiée, contact initial
