B81.0	granulome éosinophile gastro-intestinal
B48.8	boule fongique gastro-intestinale
B99	maladie infectieuse
B99	infection
B99	maladie infectieuse aiguë
B99	infection aiguë
B99	maladie infectieuse subaiguë
B99	infection subaiguë
B99	maladie infectieuse chronique
B99	infection chronique
B99	maladie transmissible
B99	maladie contagieuse
B99	infection manifeste
B99	surinfection
B99	superinfection
B99	infection larvée
B99	infection subclinique
B99	infection inapparente
B99	infection infraclinique
B99	infection localisée
B99	plaie infectée
B99	maladie infectieuse mixte
B99	polyinfection
B99	infection mixte
B99	infection croisée
B99	infection avec exanthème
B99	infection exanthémateuse
B99	infection avec énanthème
B99	infection énanthémateuse
B99	infection des tissus mous
B99	maladie infectieuse opportuniste
B99	infection opportuniste
B99+	maladie infectieuse nosocomiale
B99+	infection nosocomiale
B99	maladie infectieuse transmise par un vecteur passif
B99	maladie infectieuse transmise par la poussière
B99	maladie infectieuse par immuno-dépression
B99	maladie infectieuse transmise par les humains
B99	maladie infectieuse transmise par contact
B99	maladie infectieuse transmise par les animaux
B88.2	maladie infectieuse transmise par les arthropodes
B88.2	maladie infectieuse transmise par les insectes
B88.2	maladie infectieuse transmise par les moustiques
B88.2	maladie infectieuse transmise par les poux
B99	maladie infectieuse à organismes multiples
B47.9	mycétome
B47.9	pied de Madura
B47.0	pied de Madura actinomycosique
B47.1	actinomycétome
B47.0	maduromycose actinomycosique
B47.0	mycétome actinomycosique
B47.0	schizomycétome actinomycosique
B47.0	pied de Madura à Streptomyces
B47.0	pied de Madura à Streptomyces somaliensis
B47.0	pied de Madura à Actinomadura
B47.0	pied de Madura à Actinomadura pelletieri
B95.6	botryomycose
B95.6	infection granulomateuse chronique, surtout à Staphylococcus aureus
B95.8+	amygdalite staphylococcique
B95.8+	pharyngite staphylococcique
B95.8+	pneumonie staphylococcique
B95.8+	pleurésie staphylococcique
B95.8+	pleurésie staphylococcique avec épanchement
B95.8+	périporite
B95.8+	périporite staphylococcique
B95.8+	abcès multiples des glandes sudoripares
B95.8+	endocardite staphylococcique
B95.8+	staphylococcie oculaire
B96.8	campylobactériose
B96.8+	infection à Campylobacter fetus
B96.8+	infection à Vibrio fetus
B96.0	infection à PPLO
B96.8+	pharyngite à Mycoplasma
B96.8+	arthrite à Mycoplasma
B96.8+	arthrite à Mycoplasma arthritidis
B96.8+	affection inflammatoire pelvienne à Mycoplasma, de la femme
B96.8+	affection inflammatoire pelvienne à Mycoplasma hominis, de la femme
B96.8+	fièvre du post-abortum à Mycoplasma
B96.8+	fièvre puerpérale à Mycoplasma
B96.8+	pyélonéphrite à Mycoplasma
B96.8	affection associée à Helicobacter
B96.8+	gastrite associée à Helicobacter
B96.8+	ulcère pylorique associé à Helicobacter
B96.8+	colite associée à Helicobacter
B96.8+	proctite associée à Helicobacter
B96.1	infection bactérienne à Klebsiella pneumoniae
B96.1	infection bactérienne due au bacille de Friedländer
B96.1+	cystite à Klebsiella
B96.8+	mycose à Leptothrix
B96.8+	pneumonie à Achromobacter
B96.5	infection bactérienne à Pseudomonas
B96.5+	arthrite à Pseudomonas
B96.5+	cystite à Pseudomonas
B96.5+	otite moyenne maligne
B96.5+	otite moyenne à Pseudomonas aeruginosa
B96.4	infection bactérienne à Proteus mirabilis
B96.4	infection bactérienne à Morganella morganii
B96.4	infection bactérienne à Proteus morganii
B96.4+	pneumonie à Proteus mirabilis
B96.8+	vaginose bactérienne
B96.8+	vaginite à Gardnerella vaginalis
B96.2	infection à Escherichia coli
B96.2	infection bactérienne à Escherichia coli
B96.2+	colitoxémie
B96.2+	colitoxicose
B96.2+	arthrite à Escherichia coli
B96.2+	arthrite coliforme
B94.0	séquelles du trachome
B34.9	maladie virale
