G72.8	myopathie éosinophile
G99.2*	spondylose avec myélopathie
G99.2*	spondylarthrose avec myélopathie
G99.2*	compression de la moelle épinière due à une spondylarthrose
G99.2*	cervicarthrose avec myélopathie
G99.2*	compression de la moelle épinière cervicale
G99.2*	compression de la moelle épinière cervicale due à une spondylarthrose
G99.2*	syndrome de compression de l'artère spinale antérieure
G99.2*	syndrome de compression de l'artère vertébrale
G99.2*	spondylarthrose dorsale avec myélopathie
G99.2*	compression de la moelle épinière dorsale due à une spondylarthrose
G99.2*	spondylarthrose lombaire avec myélopathie
G99.2*	compression de la moelle épinière lombaire due à une spondylarthrose
G55.1*	névrite ou radiculite due à une hernie discale
G55.1*	névrite ou radiculite due à une rupture d'un disque intervertébral
G55.1*	névrite brachiale ou radiculite due à une hernie d'un disque intervertébral cercival
G55.1*	névrite brachiale ou radiculite due à une rupture d'un disque intervertébral cervical
G55.1*	lumbago ou sciatique dû à une hernie d'un disque intervertébral lombaire
G55.1*	névrite ou radiculite due à une hernie d'un disque intervertébral lombaire
G55.1*	névrite ou radiculite due à une rupture d'un disque intervertébral lombaire
G99.2*	atteinte d'un disque intervertébral avec myélopathie
G99.2*	atteinte d'un disque intervertébral de la région cervicale avec myélopathie
G99.2*	atteinte d'un disque intervertébral de la région dorsale avec myélopathie
G99.2*	atteinte d'un disque intervertébral de la région lombaire avec myélopathie
G54.0	syndrome de la côte cervicale
G54.0	syndrome de Naffziger
G54.0	syndrome du scalène antérieur
G54.0	syndrome du défilé costo-claviculaire diffus
G54.0	syndrome du scalène antérieur diffus
G45.9	ischémie cérébrale transitoire
G45.9	accident ischémique cérébral transitoire
G45.9	ischémie spasmodique cérébrale
G45.9	AIT
G45.9	accident ischémique cérébral régressif
G45.9	AICR
G45.9	spasme des artères cérébrales
G45.9	spasme artériel cérébral
G45.0	syndrome vertébro-basilaire
G45.0	insuffisance vertébro-basilaire
G46.3*	syndrome rétro-olivaire de Déjerine
G46.3*	syndrome de Wallenberg
G95.1	syndrome de l'artère spinale antérieure
G95.1	ramollissement médullaire antérieur
G95.1	syndrome Préobraschenski
G45.0	syndrome de l'artère vertébrale
G45.8	syndrome de la sous-clavière voleuse
G46.3*	ischémie du tronc cérébral
G46.3*	infarctus du tronc cérébral
G46.4*	infarctus cérébelleux
G31.0	atrophie granuleuse artériopathique du cortex cérébral
G08	thrombophlébite d'une veine cérébrale
G45.8	vol sous-clavier
G11.3	syndrome d'ataxie-télangiectasie
G11.3	syndrome de Louis-Bar
G71.1	dystrophie myopathique myotonique de Steinert
G71.1	maladie de Steinert
G71.1	dystrophie myotonique
G90.1	dysautonomie familiale
G90.1	neuropathie sensitive héréditaire dominante, type III
G90.1	syndrome de Riley-Day
G83.8	parésie du palais
G83.8	parésie palatine
G90.8	neuropathie du système nerveux autonome de l'intestin
G90.8	affection neurovégétative de l'intestin
G72.3	paralysie périodique familiale
G72.3	myoplégie familiale
G72.3	myotonie périodique
G72.3	maladie de Westphal
G72.3	paralysie simple intermittente
G72.3	paralysie périodique de type I
G72.3	paralysie périodique hypokaliémique familiale
G72.3	paralysie périodique hypokaliémique
G72.3	paralysie périodique hyperkaliémique
G72.3	maladie de Gamstorp
G72.3	paralysie périodique de type II
G72.3	adynamie épisodique héréditaire
G72.3	paralysie périodique normokaliémique familiale
G72.3	paralysie périodique familiale avec kaliémie normale
G72.3	paralysie périodique normokaliémique
G72.3	paralysie périodique de type III
G72.3	paralysie périodique thyrotoxique
G72.3	paralysie périodique de Hashimoto
G72.3	paralysie périodique secondaire
G60.1	maladie de surcharge en acide phytanique
G60.1	maladie de Refsum
G60.1	maladie de Refsum-Thiébaut
G60.1	hérédopathie ataxique polynévritique
G60.1	syndrome de Shy-Gonatas
G92	encéphalopathie des dialysés
G92	encéphalopathie dialytique
G30.9	maladie d'Alzheimer
G47.0	insomnie liée à un facteur organique connu
G47.1	hypersomnie liée à un facteur organique connu
G47.3	insomnie avec apnée du sommeil
G47.3	hypersomnie avec apnée du sommeil
G47.4	narcolepsie
G47.4	syndrome de Gélineau
G47.4	cataplexie
G47.8	syndrome de Kleine-Levin
G47.3	trouble du sommeil lié à la respiration
G47.3	syndrome d'apnée obstructive du sommeil
G47.3	syndrome d'apnée du sommeil central
G47.3	syndrome d'hypoventilation alvéolaire centrale
G25.1	troubles des mouvements induits par un médicament
G25.1	tremblement d'attitude induit par un médicament
G24.0	dyskinésie induite par un médicament
G24.0	dyskinésie médicamenteuse
G24.0	dyskinésie tardive
G24.0	dyskinésie médicamenteuse, à début aigu
G21.0	parkinsonisme induit par les neuroleptiques
G21.0	syndrome malin des neuroleptiques
G24.0	dystonie aiguë induite par les neuroleptiques
G21.1	akathisie aiguë induite par les neuroleptiques
G24.0	dyskinésie tardive induite par les neuroleptiques
G96.9	maladie du système nerveux central
G96.9	maladie du cerveau et de la moelle épinière
G96.9	encéphalo-myélopathie
G96.9	encéphalomyélopathie
G83.9	syndrome pyramidal
G93.9	affection du cerveau
G93.4	leucoencéphalopathie
G93.4	atteinte de la substance blanche cérébrale
G93.8	polioencéphalopathie
G93.8	atteinte de la substance grise de l'encéphale
G93.9	lésion cérébrale
G93.8	masse intracrânienne
G93.8	lésion intracrânienne
G93.6	oedème cérébral
G93.6	oedème du cerveau
G93.6	tuméfaction intracrânienne
G93.9	lésion intracrânienne localisée
G96.8	déficience du système nerveux central
G96.8	déficience du SNC
G96.8	déficience neurologique
G93.8	maladie du tronc cérébral
G93.8	affection du tronc cérébral
G93.8	syndrome mésencéphalique
G93.8	affection du cerveau moyen
G93.8	syndrome pédonculaire
G93.8	pneumoencéphale
G96.9	syndrome d'épuisement neuro-musculaire généralisé
G04.9	maladie inflammatoire du système nerveux central
G04.9	inflammation du système nerveux central
G03.9	méningite
G03.0	méningite non purulente
G03.0	méningite non suppurée
G03.0	méningite à liquide clair
G97.8	méningite aseptique due à un médicament
G03.1	méningite chronique
G05.2*	méningite à éosinophiles
G00.9	méningite purulente aiguë
G03.9	leptoméningite
G03.9	arachnoïdite
G03.9	arachnoïdite adhésive
G03.9	arachnoïdite avec adhérences
G03.9	pachyméningite
G03.9	pachyméningite adhésive chronique
G03.9	pachyméningite cervicale hypertrophique fibreuse
