M06.3	nodules rhumatoïdes sous-cutanés
M30.0	périartérite noueuse cutanée bénigne
M31.2	granulome facial
M34.8	scléroedème
M34.8	scléroedème de Buschke
M35.6	panniculite fébrile nodulaire récidivante non suppurée
M35.6	panniculite récidivante
M35.6	maladie de Weber-Christian
M35.9	maladie cutanée auto-immune
M54.0	panniculite affectant le cou
M54.0	panniculite affectant le dos
M54.07	panniculite sacrée
M79.3	panniculite
M79.3	panniculite septale
M79.3	panniculite lobulaire
M79.8	syndrome de Profichet
M79.8	nécrose graisseuse sous-cutanée de la pancréatite
M79.8	adiponécrose sous-cutanée due à une pancréatite
M89.59	acro-ostéolyse
M89.59	acro-ostéolyse idiopathique
M89.59	acro-ostéolyse professionnelle
M99.8	papules pigmentées douloureuses à la pression
M99.86	papules piézogéniques plantaires douloureuses
M99.9	maladie de l'appareil locomoteur
M99.9	affection de l'appareil locomoteur
M35.3	polymyalgie rhumatismale
M35.3	syndrome de Forestier et Certonciny
M35.3	rhumatisme rhizomélique inflammatoire des sujets âgés
M35.3	pseudopolyarthrite rhizomélique
M25.9	maladie du système ostéo-articulaire
M25.9	ostéo-arthropathie
M25.9	maladie des os et des articulations
M25.9	affection du système ostéo-articulaire
M35.9	connectivite
M35.9	collagénose
M35.9	maladie du collagène
M35.9	maladie diffuse du tissu conjonctif
M35.9	atteinte systémique du tissu conjonctif
M35.8	maladie du collagène éosinophile disséminée
M35.8	collagénose éosinophile généralisée
M35.8	connectivite éosinophilique disséminée
M35.9	maladie du collagène vasculaire
M35.9	connectivite mixte
M32.9	lupus érythémateux systémique
M32.9	lupus érythémateux disséminé
M14.8*	arthrite au cours du lupus érythémateux disséminé
M34.0	sclérodermie généralisée
M34.0	sclérodermie généralisée progressive
M34.0	sclérodermie
M34.0	sclérodermie circonscrite généralisée
M34.0	morphée généralisée
M34.8	acrosclérose
M34.8	acrosclérodermie
M34.8	sclérodactylie progressive
M34.1	syndrome CRST
M34.1	calcinose sous-cutanée, syndrome de Raynaud, sclérodactylie et télangiectasie
M34.1	syndrome CREST
M34.1	calcinose sous-cutanée, syndrome de Raynaud, sclérodactylie, hypomotilité oesophagienne et télangiectasie
M35.0	syndrome de Sjögren
M35.0	syndrome de Gougerot-Sjögren
M35.0	maladie de Sjögren
M33.1	dermatomyosite
M33.1	polymyosite oedémateuse de Wagner-Unverricht
M33.1	maladie de Wagner-Unverricht
M33.1	dermatomyosite de l'adulte
M33.1	dermatomyosite de Wagner-Unverricht
M33.1	polymyosite avec atteinte cutanée
M33.0	dermatomyosite juvénile
M33.1	poïkilodermatomyosite
M33.1	maladie de Petges-Cléjat
M33.2	polymyosite
M60.8	myosite avec inclusions cytoplasmiques
M60.8	neuro-myosite
M35.5	syndrome fibroscléreux diffus
M35.5	fibrosclérose idiopathique à foyers multiples
M35.8	atteinte systémique précisée du tissu conjonctif
M13.99	arthropathie
M13.99	affection des articulations
M13.99	maladie des articulations
M24.99	lésion d'une articulation
M13.99	arthropathie aiguë
M13.99	arthropathie subaiguë
M13.99	arthropathie chronique
M13.00	polyarthropathie
M15.90	polyarthrose
M13.99	rhumatisme articulaire chronique
M13.99	arthrite
M13.99	arthrite aiguë
M13.99	arthrite subaiguë
M13.99	arthrite chronique
M13.00	polyarthrite
M13.00	polyarthrite aiguë
M13.00	polyarthrite migratoire
M00.99	arthropathie associée à une infection
M00.99	arthropathie infectieuse
M00.99	arthrite associée à une infection
M00.99	arthrite pyogène
M00.99	arthrite aiguë suppurée
M00.99	pyoarthrose
M00.91	arthrite pyogène des articulations de l'épaule
M00.92	arthrite pyogène du coude
M00.93	arthrite pyogène du poignet
M00.94	arthrite pyogène de la main
M00.95	arthrite pyogène de l'articulation sacro-iliaque
M00.95	arthrite pyogène de la hanche
M00.96	arthrite pyogène du genou
M00.97	arthrite pyogène de la cheville
M00.97	arthrite pyogène du pied
M00.90	polyarthrite pyogène
M02.39	arthropathie de la maladie de Reiter
M02.89	arthropathie au cours d'une urétrite non spécifique
M35.2	arthropathie du syndrome de Behçet
M02.19	arthropathie post-dysentérique
M01.39*	arthropathie au cours d'une maladie bactérienne
M01.59*	arthropathie au cours d'une maladie virale
M01.69*	arthropathie au cours d'une mycose
M01.89*	arthropathie au cours d'une helminthiase
M01.89*	arthropathie au cours d'une maladie infectieuse ou parasitaire
M00.99	arthrite infectieuse
M00.90	polyarthrite infectieuse
M00.99	arthrite infectieuse aiguë
M00.90	polyarthrite infectieuse aiguë
M00.99	arthrite infectieuse subaiguë
M00.90	polyarthrite infectieuse subaiguë
M00.99	arthrite infectieuse chronique
M00.90	polyarthrite infectieuse chronique
M11.99	arthropathie due à des microcristaux
M11.99	arthrite due à des microcristaux
M11.99	arthrite et synovite dues à des microcristaux
M11.91	arthropathie due à des microcristaux des articulations de l'épaule
M11.92	arthropathie due à des microcristaux du coude
M11.93	arthropathie due à des microcristaux du poignet
M11.94	arthropathie due à des microcristaux de la main
M11.95	arthropathie due à des microcristaux de l'articulation sacro-iliaque
M11.95	arthropathie due à des microcristaux de la hanche
M11.96	arthropathie due à des microcristaux du genou
M11.97	arthropathie due à des microcristaux de la cheville et du pied
M11.98	arthropathie due à des microcristaux d'une articulation précisée
M11.90	polyarthropathie due à des microcristaux
M14.8*	arthropathie au cours d'affections précisées
M14.8*	polyarthropathie au cours d'affections précisées
M14.8*	arthrite au cours d'affections précisées
M14.8*	polyarthrite au cours d'affections précisées
M14.5*	arthropathie au cours d'une affection endocrinienne ou métabolique
M07.69*	arthropathie au cours d'une affection gastro-intestinale non infectieuse
M36.3*	arthropathie au cours d'une affection hématologique
M36.2*	arthropathie hémophilique
M14.8*	arthropathie au cours d'une affection dermatologique
M14.8*	arthropathie au cours d'une affection respiratoire
M14.6*	arthropathie au cours d'une affection neurologique
M14.6*	arthropathie nerveuse
M14.6*	arthropathie neuropathique
M14.6*	arthropathie ossifiante neurogène
M36.4*	arthropathie au cours d'une réaction d'hypersensibilité
M14.8*	arthropathie au cours d'une maladie systémique
M06.99	arthrite rhumatoïde
M06.99	goutte asthénique primitive
M06.90	polyarthrite chronique évolutive
M06.90	polyarthrite rhumatismale chronique
M07.19*	arthrite mutilante
M05.09	syndrome de Felty
M05.09	arthrite rhumatoïde, splénomégalie et leucopénie
M08.99*	syndrome de Wissler-Fanconi
M08.99*	subsepsis allergica
M14.8*	syndrome d'arthrite rhumatoïde et d'uvéite
M07.69*	arthrite entéropathique
M05.39	arthrite rhumatoïde avec atteinte d'autres organes et appareils
M14.5*	syndrome de Marie-Léri
M14.5*	acro-ostéolyse rhumatoïde
M14.5*	syndrome de la main en lorgnette
M08.30	polyarthrite juvénile chronique
M08.20	polyarthrite juvénile avec début systémique
M08.20	arthrite rhumatoïde juvénile
M08.20	maladie de Still
M08.20	polyarthrite rhumatoïde juvénile chronique
M08.20	polyarthrite rhumatoïde juvénile aiguë
M08.20	arthrite rhumatoïde juvénile aiguë
M08.49	polyarthrite rhumatoïde pauci-articulaire juvénile
M08.09	arthrite monoarticulaire rhumatoïde juvénile
M12.09	fibrose nodulaire rhumatoïde chronique
M12.09	syndrome de Jaccoud
M12.09	maladie de Jaccoud
M12.09	arthrite rhumatoïde de Jaccoud
M12.09	arthropathie chronique post-rhumatismale
M79.09	rhumatisme extra-articulaire
M06.8	ostéopériostite rhumatoïde
M06.40	polyarthropathie inflammatoire
M06.40	polyarthrite inflammatoire
M19.99	arthrose
M19.99	arthrite déformante
M19.99	arthropathie dégénérative
M19.99	ostéo-arthrose
M19.99	arthrite dégénérative
M15.9	polyarthrite dégénérative
M15.9	polyarthrite hypertrophique
M19.90	arthrite hypertrophique
M19.99	ostéo-arthrite
M19.91	arthrose des articulations de l'épaule
M19.92	arthrose du coude
M19.93	arthrose du poignet
M19.94	arthrose de la main
