S60.8	phlyctènes palmaires par frottement
S90.8	phlyctènes plantaires par frottement
S33.3	symphysiolyse pubienne
S33.3	disjonction de la symphyse pubienne
S27.5	perforation traumatique de la trachée
S26.8	communication interventriculaire traumatique
S09.8	trauma occlusal
S09.8	trauma occlusal primaire
S09.8	trauma occlusal secondaire
S09.8	trauma occlusal secondaire localisé
S09.8	trauma occlusal parafonctionnel
S02.5	lésion traumatique des dents
S02.5	lésion traumatique d'une dent
S02.5	lésion traumatique dentaire
S02.5	fracture d'une dent
S02.5	dent fracturée
S02.5	fracture d'une fissure dentaire
S02.5	fracture d'une dent migrée
S02.5	dent migrée fracturée
S03.2	luxation dentaire
S03.2	dislocation complète d'une dent
S03.2	luxation latérale d'une dent
S03.2	luxation extrusive d'une dent
S03.2	luxation intrusive d'une dent
S02.5	fracture d'une racine dentaire
S02.5	commotion d'une dent
S02.5	dent fêlée
S02.5	couronne dentaire fêlée
S02.5	racine dentaire fêlée
S02.5	abfraction
S02.5	fracture d'une couronne dentaire, émail seulement
S02.5	fracture d'une couronne dentaire, émail et dentine, sans exposition de la pulpe
S02.5	fracture d'une couronne dentaire, émail et dentine, avec exposition de la pulpe
S02.5	fracture de la couronne et de la racine d'une dent
S02.5	fracture d'une cuspide dentaire pendant la mastication
S02.5	fracture horizontale d'une dent
S02.5	fracture horizontale du tiers moyen de la racine d'une dent
S02.5	fracture horizontale du tiers cervical de la racine d'une dent
S02.5	fracture horizontale du tiers apical de la racine d'une dent
S02.5	fracture radiculaire à la bifurcation d'une dent
S02.5	fractures radiculaires multiples
S02.5	fracture verticale d'une racine dentaire
S27.8	lésion traumatique oesophagienne
S27.8	traumatisme de l'oesophage
S36.4	perforation traumatique de l'intestin grêle
S36.5	perforation traumatique du gros intestin
S02.5	traumatisme dentaire
S05.8	oedème de Berlin
S05.8	syndrome de Berlin
S05.1	anneau de Vossius
S05.3	lacération de la cornée
S05.3	lacération sclérale
S19.9	lésion traumatique du cou
S09.9	lésion traumatique de l'oreille
S09.9	lésion traumatique du sourcil
S09.9	lésion traumatique de la lèvre
S09.9	lésion traumatique de la bouche
S09.9	lésion traumatique du nez
S19.9	lésion traumatique de la gorge
S19.9	lésion traumatique de la partie antérieure du cou
S09.9	lésion traumatique de la tête
S09.9	traumatisme de la tête
S09.9	lésion traumatique de la tête avec otorragie
S09.9	lésion traumatique de la tête avec hémorragie de l'oreille
S09.9	traumatisme de la tête avec hémorragie de l'oreille
S19.9	lésion traumatique du cou incluant le coup du lapin
S19.9	traumatisme du cou incluant le coup de fouet
S18	décapitation
S39.9	lésion traumatique de la paroi abdominale
S39.9	lésion traumatique du dos
S39.9	lésion traumatique des fesses
S29.9	lésion traumatique de la région interscapulaire
S29.9	lésion traumatique du sein
S29.9	lésion traumatique de la paroi thoracique
